Age_lt_33,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose:investment,Purpose:leisure,Purpose:personal,GoodCustomer
0,1,2,1,0,1,1169,6,0,0,1,1
1,0,2,1,1,2,5951,48,0,0,1,0
0,1,1,1,1,0,2096,12,1,0,0,1
0,1,2,0,1,1,7882,42,0,0,1,1
0,1,2,0,1,1,4870,24,0,1,0,0
0,1,1,0,0,0,9055,36,1,0,0,1
0,1,2,1,4,0,2835,24,0,0,1,1
0,1,3,1,1,2,6948,36,0,1,0,1
0,1,1,1,3,0,3059,12,0,0,1,1
1,1,3,1,1,2,5234,30,0,1,0,0
1,0,2,1,1,2,1295,12,0,1,0,0
1,0,2,1,1,1,4308,48,1,0,0,0
1,0,2,1,1,2,1567,12,0,0,1,1
0,1,1,1,1,1,1199,24,0,1,0,0
1,0,2,1,1,1,1403,15,0,1,0,1
1,0,1,1,2,1,1282,24,0,0,1,0
0,1,2,1,0,0,2424,24,0,0,1,1
1,1,2,1,0,1,8072,30,1,0,0,1
0,0,3,0,1,2,12579,24,0,1,0,0
1,1,2,1,4,0,3430,24,0,0,1,1
0,1,2,1,1,0,2134,9,0,1,0,1
0,1,2,1,4,1,2647,6,0,0,1,1
0,1,1,1,1,1,2241,10,0,1,0,1
0,1,2,1,2,2,1804,12,0,1,0,1
1,1,2,1,0,0,2069,10,0,0,1,1
0,1,1,1,1,1,1374,6,0,0,1,1
0,1,1,1,1,0,426,6,0,0,1,1
0,0,2,1,3,3,409,12,0,0,1,1
0,1,2,1,1,2,2415,7,0,0,1,1
0,1,2,1,1,1,6836,60,1,0,0,0
0,1,2,1,3,2,1913,18,1,0,0,1
1,1,2,1,1,1,4020,24,0,0,1,1
1,1,2,1,2,2,5866,18,0,1,0,1
0,1,1,1,0,0,1264,12,1,0,0,1
1,0,3,1,1,3,1474,12,0,0,1,1
1,1,1,1,1,2,4746,45,0,0,1,0
1,1,2,0,1,0,6110,48,1,0,0,1
0,1,2,1,1,3,2100,18,0,0,1,0
0,1,2,1,1,3,1225,10,0,0,1,1
1,1,2,1,1,2,458,9,0,0,1,1
1,1,3,1,4,0,2333,30,0,0,1,1
1,1,2,1,4,2,1158,12,0,0,1,1
0,1,1,1,1,2,6204,18,0,0,1,1
1,1,2,1,2,1,6187,30,0,1,0,1
0,0,1,0,1,1,6143,48,0,1,0,0
0,0,3,1,1,0,1393,11,0,1,0,1
0,1,2,1,4,0,2299,36,0,0,1,1
1,0,0,1,4,1,1352,6,0,1,0,1
0,1,1,1,1,0,7228,11,0,1,0,1
1,0,2,1,2,0,2073,12,0,0,1,1
1,1,1,1,0,2,2333,24,0,0,1,1
1,1,3,1,1,2,5965,27,0,1,0,1
1,1,2,1,1,0,1262,12,0,0,1,1
1,1,2,1,0,0,3378,18,0,1,0,1
0,1,2,0,1,2,2225,36,0,1,0,0
1,1,1,1,0,0,783,6,0,1,0,1
0,1,3,1,0,2,6468,12,0,0,1,0
1,0,2,1,1,0,9566,36,0,0,1,1
1,0,3,1,1,3,1961,18,0,1,0,1
1,0,1,1,1,1,6229,36,0,0,1,0
1,1,2,1,1,2,1391,9,1,0,0,1
0,1,2,1,0,2,1537,15,0,0,1,1
0,1,3,0,1,2,1953,36,1,0,0,0
